GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,1538.6737,3695.6796,4351.7025,0.0,0.0,0.0,-3266.9746,-27162.2661,4522.4189,15416.6859,-6967.0055,168.23536776,-904.0800999999992,-6798.77013224,-7702.850232239999
1,1517.3413,3693.4463,4342.5909,0.0,0.0,0.0,-3215.2746,-27201.1609,4676.7342,15474.4502,-6985.6979,165.89412648,-711.8726000000024,-6819.8037735200005,-7531.676373520003
2,1547.6591,3696.765,4324.6826,0.0,0.0,0.0,-3205.5712,-26966.5629,4629.4554,15474.5223,-7145.7521,168.97803408,-499.0496999999996,-6976.77406592,-7475.8237659199995
3,1504.1135,3746.3807,4338.3592,0.0,0.0,0.0,-3226.6372,-26947.244,4708.9524,15388.4147,-7135.2695,170.4337596,-487.66070000000036,-6964.835740400001,-7452.496440400001
4,1579.4618,3726.423,4336.819,0.0,0.0,0.0,-3228.8438,-26741.7464,4611.0959,15358.3541,-7340.8814,170.87941872,-358.4364000000023,-7170.00198128,-7528.438381280002
5,1553.7041,3805.5595,4337.0393,0.0,0.0,0.0,-3282.0333,-26923.4809,4498.0305,15281.575,-6988.2777,163.13355504,-729.6057999999975,-6825.14414496,-7554.749944959997
6,1531.7968,3713.8411,4355.3303,0.0,0.0,0.0,-3263.5028,-27124.9684,4625.6038,15482.1572,-6984.9805,168.2038044,-679.7420000000038,-6816.7766956,-7496.518695600003
7,1527.1749,3728.2259,4308.2229,0.0,0.0,0.0,-3243.2056,-26971.1831,4625.7877,15452.6035,-7093.4105,169.09008048,-572.3737999999994,-6924.32041952,-7496.694219519999
8,1515.6765,3731.6704,4348.1487,0.0,0.0,0.0,-3226.5778,-26902.296,4690.8955,15290.5364,-7046.2554,169.05918024,-551.9462999999996,-6877.19621976,-7429.142519759999
9,1554.1663,3690.7315,4386.9628,0.0,0.0,0.0,-3230.586,-26844.6063,4580.1409,15309.3768,-7115.458,169.36444368,-553.8139999999985,-6946.09355632,-7499.907556319999
10,1496.9749,3692.3062,4334.7464,0.0,0.0,0.0,-3272.1095,-27115.7529,4587.7937,15426.8611,-6929.2615,169.32940127999998,-849.1801000000014,-6759.93209872,-7609.112198720001
11,1531.1402,3672.7118,4316.6347,0.0,0.0,0.0,-3231.4576,-27433.1322,4657.9197,15646.8106,-6840.6301,171.30162167999998,-839.372800000001,-6669.328478320001,-7508.701278320002
12,1559.6925,3684.191,4350.863,0.0,0.0,0.0,-3227.9462,-26718.2447,4636.4917,15456.1886,-7319.7767,172.79329176,-258.76410000000214,-7146.98340824,-7405.747508240002
13,1503.6053,3670.6215,4285.7667,0.0,0.0,0.0,-3316.7481,-27150.1468,4602.7518,15541.0085,-6960.3071,164.5565364,-863.1410999999971,-6795.7505636,-7658.891663599997
14,1505.7998,3733.4194,4349.0159,0.0,0.0,0.0,-3231.5139,-27536.619,4639.5663,15576.9878,-6681.5042,162.1953072,-963.3436999999994,-6519.308892800001,-7482.6525928
15,1532.1716,3646.3046,4324.8769,0.0,0.0,0.0,-3262.637,-27230.6617,4637.4432,15462.294,-6931.4827,165.32279640000002,-890.2083999999995,-6766.1599036,-7656.368303599999
16,1597.184,3710.7389,4297.7133,0.0,0.0,0.0,-3222.8899,-27140.6881,4537.114,15350.3412,-6911.0992,169.14828672,-870.4866000000002,-6741.950913279999,-7612.43751328
17,1551.9441,3699.8977,4289.3204,0.0,0.0,0.0,-3265.603,-27258.8387,4641.201,15565.328,-6867.1809,162.16415711999997,-776.7505000000001,-6705.0167428800005,-7481.767242880001
18,1533.1339,3712.0884,4355.0001,0.0,0.0,0.0,-3229.3052,-27279.3403,4590.3133,15661.5534,-6999.964,167.69820744,-656.5563999999995,-6832.26579256,-7488.822192559999
19,1452.503,3765.3223,4329.7168,0.0,0.0,0.0,-3240.4264,-27352.3606,4642.155,15511.2234,-6791.5246,164.81322648,-891.8665000000019,-6626.71137352,-7518.577873520002
20,1565.7603,3665.3058,4312.5486,0.0,0.0,0.0,-3264.7048,-26993.8056,4666.2895,15612.3765,-7206.8722,166.8479076,-436.2297000000017,-7040.0242923999995,-7476.253992400001
21,1568.6018,3776.9553,4327.5996,0.0,0.0,0.0,-3293.6331,-26768.5004,4521.6306,15425.6056,-7284.1255,170.63904168,-441.7405999999992,-7113.48645832,-7555.227058319999
22,1588.3789,3659.8556,4328.2118,0.0,0.0,0.0,-3251.7711,-26986.449,4531.9198,15542.0933,-7207.1963,167.83428096,-587.7607000000025,-7039.36201904,-7627.122719040002
23,1579.8446,3633.497,4353.8939,0.0,0.0,0.0,-3219.5409,-27229.4645,4617.4365,15576.0418,-7004.1073,167.69222784000002,-688.2915999999987,-6836.41507216,-7524.706672159999
24,1524.0127,3675.8877,4335.6502,0.0,0.0,0.0,-3233.708,-27080.2269,4593.0634,15571.5821,-7088.5104,167.8235868,-613.7388000000028,-6920.6868132,-7534.425613200003
25,1500.9367,3671.6093,4342.5768,0.0,0.0,0.0,-3214.3469,-27305.8594,4647.7524,15611.6557,-6944.4495,171.26624664,-745.6754000000001,-6773.18325336,-7518.85865336
26,1587.6912,3821.2105,4322.3816,0.0,0.0,0.0,-3233.1549,-27251.1923,4568.5592,15312.7429,-6892.1307,168.49485216,-871.761800000002,-6723.63584784,-7595.397647840002
27,1550.9325,3697.2604,4336.9373,0.0,0.0,0.0,-3295.2747,-26925.1853,4609.8176,15398.2199,-7130.011,165.40566912,-627.2922999999992,-6964.60533088,-7591.897630879999
28,1571.7924,3735.6962,4311.7152,0.0,0.0,0.0,-3247.7913,-26976.7777,4517.1368,15429.289,-7094.7413,168.11040096,-658.9393999999993,-6926.630899039999,-7585.570299039999
29,1578.5793,3694.3542,4290.6159,0.0,0.0,0.0,-3237.9015,-27067.8565,4563.3073,15472.6127,-7084.1366,167.1786,-706.2886000000017,-6916.958,-7623.246600000001
